Type,DeploymentId,Timestamp,PullRequests
Failure,2e07bb89-e168-406d-8289-bbcf52818ab1,2024-02-29T18:47:32.362216Z,"[{'MergedAt': '2024-02-29T18:32:26Z', 'CreatedAt': '2024-02-29T18:25:03Z', 'AuthorUsername': 'D41244165', 'AuthorName': 'D41244165', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-241069](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/241069/)  \nAZ 241069 Alerting\n\n| Difference type | Metadata type | Name |\n| ------------- | ------------- | ------------- |\n| Different | Apex class | CreateAppElementsController |\n| No difference | Custom labels | CustomLabels |\n| Different | Aura component | NF_Create_Available_Discounts |\n| New | Custom label | Program_Start_Date_Null_Check |\n| New | Custom label | Session_Start_Date_Null_Check |\n\n\n[AB#241069](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/241069)', 'Title': 'AZ 241069 Alerting', 'PullRequestNumber': 2330, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2330'}]"
Failure,0e211f26-9c75-426a-a2a2-cb0ba1dffbea,2024-02-29T18:36:06.43367Z,"[{'MergedAt': '2024-02-29T18:25:12Z', 'CreatedAt': '2024-02-29T18:22:28Z', 'AuthorUsername': 'D41173503', 'AuthorName': 'D41173503', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-250619](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/250619/)  \nD250619 TY5\n\n| Difference type | Metadata type | Name |\n| ------------- | ------------- | ------------- |\n| Different | Layout | Opportunity-Opportunity - UK %28for service agents%29 |\n| Different | Layout | Opportunity-Opportunity - UoL Enrollment |\n| Different | Layout | Opportunity-Opportunity - UoR Enrollment |\n\n\n[AB#250619](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/250619)', 'Title': 'D250619 TY5', 'PullRequestNumber': 2329, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2329'}]"
Failure,59184a60-9372-4083-bf03-19e3573f5b24,2024-02-29T17:37:49.852833Z,"[{'MergedAt': '2024-02-29T17:18:30Z', 'CreatedAt': '2024-02-29T16:58:03Z', 'AuthorUsername': 'D41173672', 'AuthorName': 'D41173672', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-225748](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/225748/)  \nBackDeploy_CHG0066789\n\n[AB#225748](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/225748)', 'Title': 'BackDeploy_CHG0066789', 'PullRequestNumber': 2326, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2326'}]"
Failure,c482a50e-5b7b-4774-87c8-7086b667527b,2024-02-29T17:26:54.999113Z,"[{'MergedAt': '2024-02-29T15:40:17Z', 'CreatedAt': '2024-02-29T15:31:14Z', 'AuthorUsername': 'D41267366', 'AuthorName': 'D41267366', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-224367](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/224367/)  \nBrand Profile related list changes\n\n| Difference type | Metadata type | Name |\n| ------------- | ------------- | ------------- |\n| Different (custom selection) | Layout | Contact-Admin Contact Layout |\n| Different | Layout | Contact-Chamberlain Contact Layout |\n| Different (custom selection) | Layout | Contact-Contact Layout |\n| Different | Layout | Contact-Contact Layout - Enrollment |\n\n\n[AB#224367](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/224367)', 'Title': 'D224367 TY2', 'PullRequestNumber': 2322, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2322'}, {'MergedAt': '2024-02-29T15:52:44Z', 'CreatedAt': '2024-02-29T15:51:50Z', 'AuthorUsername': 'D41272462', 'AuthorName': 'D41272462', 'Description': '', 'Title': '252208', 'PullRequestNumber': 2323, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2323'}, {'MergedAt': '2024-02-29T16:19:22Z', 'CreatedAt': '2024-02-28T19:42:32Z', 'AuthorUsername': 'D01043655', 'AuthorName': 'D01043655', 'Description': '', 'Title': '252357 CU EFP  IEP & Tuition Benefits dropdown', 'PullRequestNumber': 2294, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2294'}, {'MergedAt': '2024-02-29T16:49:21Z', 'CreatedAt': '2024-02-29T16:46:55Z', 'AuthorUsername': 'D41267365', 'AuthorName': 'D41267365', 'Description': '', 'Title': 'D244296 MA2', 'PullRequestNumber': 2324, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2324'}, {'MergedAt': '2024-02-29T16:58:23Z', 'CreatedAt': '2024-02-29T16:56:55Z', 'AuthorUsername': 'D41174013', 'AuthorName': 'D41174013', 'Description': '252101 tempoflow', 'Title': '252101 tempoflow', 'PullRequestNumber': 2325, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2325'}, {'MergedAt': '2024-02-29T17:04:44Z', 'CreatedAt': '2024-02-29T14:00:27Z', 'AuthorUsername': 'D41279718', 'AuthorName': 'D41279718', 'Description': '221535-Custom applications in cu basic user profile-Fix', 'Title': '221535_CA', 'PullRequestNumber': 2319, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2319'}, {'MergedAt': '2024-02-29T17:06:51Z', 'CreatedAt': '2024-02-29T13:59:38Z', 'AuthorUsername': 'D41279718', 'AuthorName': 'D41279718', 'Description': '221549-custom object permission and tab settings in cu business admin profile-Fix', 'Title': '221549_OT', 'PullRequestNumber': 2318, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2318'}, {'MergedAt': '2024-02-29T17:07:30Z', 'CreatedAt': '2024-02-29T17:06:05Z', 'AuthorUsername': 'D41267366', 'AuthorName': 'D41267366', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-224367](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/224367/)  \nFix for Deployment errors\n\n| Difference type | Metadata type | Name |\n| ------------- | ------------- | ------------- |\n| Different (custom selection) | Layout | Contact-Contact Layout |\n\n\n[AB#224367](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/224367)', 'Title': 'D224367 TY3', 'PullRequestNumber': 2328, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2328'}]"
Failure,3adcaa07-a279-4c95-8785-6c7a3a3cad73,2024-02-29T15:47:13.261793Z,"[{'MergedAt': '2024-02-29T15:35:37Z', 'CreatedAt': '2024-02-29T15:14:16Z', 'AuthorUsername': 'D41173672', 'AuthorName': 'D41173672', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-225748](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/225748/)  \nBackDeploy_FieldDeletion\n\n[AB#225748](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/225748)', 'Title': 'BackDeploy_FieldDeletion', 'PullRequestNumber': 2321, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2321'}]"
Failure,6e9b8280-67b8-400b-884f-8499b2ea54de,2024-02-29T14:54:05.10131Z,"[{'MergedAt': '2024-02-29T14:41:46Z', 'CreatedAt': '2024-02-28T20:26:39Z', 'AuthorUsername': 'D41173672', 'AuthorName': 'D41173672', 'Description': 'Azure DevOps work items: [AdtalemGlobalEducation/PROD-225748](https://dev.azure.com/AdtalemGlobalEducation/PROD/_workitems/edit/225748/)  \nCHG0066700\n\n[AB#225748](https://dev.azure.com/AdtalemGlobalEducation/7102b53c-9408-44a3-b99c-9708d6c32d31/_workitems/edit/225748)', 'Title': 'BackDeploy_CHG0066700', 'PullRequestNumber': 2299, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2299'}]"
Failure,4e238341-2529-4410-b41a-2cb6c4c2f6ca,2024-02-29T14:18:37.417746Z,"[{'MergedAt': '2024-02-29T14:07:36Z', 'CreatedAt': '2024-02-29T13:53:11Z', 'AuthorUsername': 'D41272462', 'AuthorName': 'D41272462', 'Description': '', 'Title': 'Metadata records', 'PullRequestNumber': 2317, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2317'}]"
Success,4a196edd-0c02-4d9f-9d65-2adf457ce8ea,2024-02-29T13:19:14.695252Z,"[{'MergedAt': '2024-02-29T13:08:27Z', 'CreatedAt': '2024-02-29T13:03:58Z', 'AuthorUsername': 'D41227253', 'AuthorName': 'D41227253', 'Description': '', 'Title': '252240- bugfix', 'PullRequestNumber': 2316, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2316'}]"
Success,945d430a-02ba-48d5-acda-27827c99a24e,2024-02-29T12:54:48.499443Z,"[{'MergedAt': '2024-02-29T12:44:03Z', 'CreatedAt': '2024-02-29T12:36:05Z', 'AuthorUsername': 'D41279718', 'AuthorName': 'D41279718', 'Description': '221549-Custom app settings in cu business admin profile-Fix', 'Title': '221549_CA', 'PullRequestNumber': 2315, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2315'}]"
Failure,be0a2a72-9a46-41ba-b0e3-abeda7b6455c,2024-02-29T11:59:51.606075Z,"[{'MergedAt': '2024-02-29T11:46:08Z', 'CreatedAt': '2024-02-29T10:23:27Z', 'AuthorUsername': 'D41272462', 'AuthorName': 'D41272462', 'Description': '', 'Title': '227140', 'PullRequestNumber': 2309, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2309'}]"
Success,ce1ff9b8-be94-4110-9455-7140dad65a2f,2024-02-29T11:17:21.195748Z,"[{'MergedAt': '2024-02-29T11:07:10Z', 'CreatedAt': '2024-02-29T10:51:50Z', 'AuthorUsername': 'D41279721', 'AuthorName': 'D41279721', 'Description': '', 'Title': '223047_App_Settings', 'PullRequestNumber': 2313, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2313'}]"
Failure,2aa7b317-53e7-4293-a7a5-c5a99ca4293e,2024-02-29T11:00:23.644303Z,"[{'MergedAt': '2024-02-29T10:47:18Z', 'CreatedAt': '2024-02-29T10:42:06Z', 'AuthorUsername': 'D41269285', 'AuthorName': 'D41269285', 'Description': 'Bug 252361: CU Opp : Internal Admission Application page is not opening when CU Business Admin and CU Local Support Profile users click on Start App button on CU Opp.', 'Title': '252361_Internal_App_Page', 'PullRequestNumber': 2312, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2312'}]"
Failure,7b86b542-a7b8-414e-b60a-b524d0b16ddb,2024-02-29T10:50:42.585215Z,"[{'MergedAt': '2024-02-29T10:40:02Z', 'CreatedAt': '2024-02-29T10:36:54Z', 'AuthorUsername': 'D41279721', 'AuthorName': 'D41279721', 'Description': '', 'Title': '223071_Custom_Object', 'PullRequestNumber': 2311, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2311'}]"
Failure,829efe27-8b48-4e80-bc08-aa1e80aed618,2024-02-29T09:00:49.749269Z,"[{'MergedAt': '2024-02-29T08:50:41Z', 'CreatedAt': '2024-02-29T08:48:43Z', 'AuthorUsername': 'D41272462', 'AuthorName': 'D41272462', 'Description': '', 'Title': '250572', 'PullRequestNumber': 2308, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2308'}]"
Success,b6680cf5-be2b-4d4c-8fb3-1cf457029f30,2024-02-29T07:20:48.209579Z,"[{'MergedAt': '2024-02-29T07:09:10Z', 'CreatedAt': '2024-02-29T07:01:56Z', 'AuthorUsername': 'D41227253', 'AuthorName': 'D41227253', 'Description': '', 'Title': 'bugfix 227528', 'PullRequestNumber': 2307, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2307'}]"
Success,8aa6d8d1-198d-46fc-98bd-b65723fcd704,2024-02-29T06:50:09.707829Z,"[{'MergedAt': '2024-02-29T06:39:29Z', 'CreatedAt': '2024-02-27T13:31:58Z', 'AuthorUsername': 'D41279721', 'AuthorName': 'D41279721', 'Description': '', 'Title': '213781_Policy_outcome', 'PullRequestNumber': 2241, 'Url': 'https://github.com/DeVryEducationGroup/SFDC-ATGE/pull/2241'}]"
